city_municipality_,province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,region_first,recurrence_rate,cost_per_family
ALAMINOS,LAGUNA,4A,9146.0,0.0,0.0,0.0,1163900.0,0.0,0.0,0.0,0.0,0.0,7,4A,1.1666666666666667,454.2935206869633
ALAMINOS,PANGASINAN,1,114939.0,0.0,0.0,0.0,6982788.32,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0,9,1,1.8,214.9608521118089
ALANGALANG,LEYTE,8,27334.0,0.0,0.0,0.0,46740.0,0.3333333333333333,0.0,0.0,0.0,0.0,3,8,1.5,6.969877721443483
ALBUERA,LEYTE,8,10515.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,8,1.0,0.0
ALBURQUERQUE,BOHOL,7,11985.0,0.0,0.0,0.0,1505730.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,474.54459502048536
ALCALA,CAGAYAN,2,11968.0,0.0,0.0,0.0,641000.0,0.2,0.2,0.0,0.0,0.0,5,2,1.25,166.58004158004158
ALCALA,PANGASINAN,1,18578.0,1.0,0.0,0.0,2254782.13,0.2,0.0,0.0,0.0,0.0,5,1,1.0,574.4667847133758
ALCANTARA,CEBU,7,16391.0,0.0,0.0,0.0,1060000.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,208.2105676684345
ALCANTARA,ROMBLON,4B,279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,4B,1.0,0.0
ALCOY,CEBU,7,16044.0,13.0,0.0,0.0,1810000.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,330.2317095420544
ALEGRIA,CEBU,7,26511.0,0.0,0.0,0.0,4851000.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,674.8747913188648
ALEGRIA,SURIGAO DEL NORTE,Caraga,32530.0,0.0,0.0,0.0,2951002.79,0.0,0.0,0.0,0.0,0.0,2,Caraga,0.6666666666666666,453.3726824396989
ALEOSAN,COTABATO,12,3325.0,0.0,0.0,0.0,489060.0,0.5,0.0,0.0,0.0,0.0,2,12,0.5,682.092050209205
ALFONSO,CAVITE,4A,4371.0,0.0,0.0,0.0,641599.0,0.0,0.0,0.0,0.0,0.0,4,4A,1.0,619.9024154589372
ALFONSO CASTAÑEDA,NUEVA VIZCAYA,2,4650.0,0.0,0.0,0.0,140758.0,0.375,0.0,0.0,0.0,0.0,8,2,1.3333333333333333,106.31268882175226
ALFONSO LISTA,IFUGAO,Car,1303.0,0.0,0.0,0.0,201175.09,0.75,0.0,0.25,0.25,0.0,4,Car,0.8,515.8335641025641
ALIAGA,NUEVA ECIJA,3,8388.0,0.0,1.0,0.0,11546400.0,0.25,0.0,0.0,0.0,0.0,4,3,1.3333333333333333,4928.040973111396
ALICIA,BOHOL,7,22500.0,4.0,0.0,0.0,3249000.0,1.0,0.0,0.0,0.0,0.0,1,7,1.0,433.1422477003066
ALICIA,ISABELA,2,21503.0,0.0,0.0,0.0,2703327.13,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,3,2,1.0,436.2315846377279
ALILEM,ILOCOS SUR,1,3617.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0.8,0.0
ALIMODIAN,ILOILO,6,4502.0,0.0,0.0,0.0,19782.0,0.16666666666666666,0.0,0.0,0.0,0.0,6,6,1.0,21.54901960784314
ALITAGTAG,BATANGAS,4A,1575.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,4A,1.0,0.0
ALLACAPAN,CAGAYAN,2,20816.0,0.0,1.0,0.0,2225088.43,0.45454545454545453,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,11,2,1.8333333333333333,380.74750684462697
ALLEN,NORTHERN SAMAR,8,27476.0,0.0,7.0,0.0,4263086.0,0.3333333333333333,0.0,0.0,0.0,0.0,3,8,0.6,563.825684433276
ALMAGRO,SAMAR,8,929.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,8,1.0,0.0
ALMERIA,BILIRAN,8,2227.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,8,1.2,0.0
