typhoon_name,year,region,province,city_municipality,families,person,brgy,dead,injured_ill,missing,totally,partially,total,cost,has_food,has_cash,has_hygiene_health,has_sleeping_essentials,has_shelter_support,aid_diversity
ODETTE,2021,Caraga,SURIGAO DEL NORTE,SAN ISIDRO,2406.0,12030.0,12.0,0.0,0.0,0.0,1143.0,1004.0,2147.0,0.0,0,1,0,0,0,1
ODETTE,2021,5,MASBATE,SAN JACINTO,36.0,143.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,ILOILO,SAN JOAQUIN,7680.0,28451.0,85.0,0.0,0.0,0.0,703.0,4544.0,5247.0,1291642.0,1,1,0,0,0,2
ODETTE,2021,8,SAMAR,SAN JORGE,124.0,509.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,13,DINAGAT ISLANDS,SAN JOSE,10633.0,53165.0,12.0,0.0,26.0,0.0,4711.0,2433.0,7144.0,0.0,0,1,0,0,0,1
ODETTE,2021,6,ANTIQUE,SAN JOSE,1046.0,4667.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,7,NEGROS ORIENTAL,SAN JOSE,1025.0,4184.0,14.0,0.0,3.0,0.0,80.0,945.0,1025.0,0.0,1,0,0,0,0,1
ODETTE,2021,6,ANTIQUE,SAN JOSE DE BUENAVISTA,0.0,0.0,0.0,0.0,0.0,0.0,36.0,705.0,741.0,226000.0,1,0,0,0,0,1
ODETTE,2021,7,SIQUIJOR,SAN JUAN,1041.0,3123.0,15.0,0.0,0.0,0.0,23.0,1016.0,1039.0,0.0,1,0,0,0,0,1
ODETTE,2021,8,SOUTHERN LEYTE,SAN JUAN,4400.0,15613.0,18.0,0.0,16.0,4.0,1548.0,2214.0,3762.0,7162116.16,1,1,1,1,0,5
ODETTE,2021,8,EASTERN SAMAR,SAN JULIAN,4255.0,21275.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,180000.0,0,1,0,0,0,1
ODETTE,2021,6,GUIMARAS,SAN LORENZO,2614.0,11481.0,12.0,0.0,0.0,0.0,27.0,100.0,127.0,370274.8,1,1,0,0,0,2
ODETTE,2021,Caraga,AGUSAN DEL SUR,SAN LUIS,7.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,ILOILO,SAN MIGUEL,1396.0,5092.0,24.0,0.0,0.0,0.0,25.0,1371.0,1396.0,508174.0,1,0,0,0,0,1
ODETTE,2021,7,BOHOL,SAN MIGUEL,7752.0,25356.0,18.0,0.0,35.0,0.0,2178.0,4533.0,6711.0,3021000.0,1,0,0,0,0,1
ODETTE,2021,8,LEYTE,SAN MIGUEL,143.0,710.0,12.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0,0,0,0,0,0
ODETTE,2021,Caraga,SURIGAO DEL SUR,SAN MIGUEL,7529.0,27313.0,18.0,0.0,0.0,0.0,34.0,210.0,244.0,0.0,0,0,0,0,0,0
ODETTE,2021,8,EASTERN SAMAR,SAN POLICARPO,4565.0,17290.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,ILOILO,SAN RAFAEL,2077.0,8515.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,225890.0,1,0,0,0,0,1
ODETTE,2021,6,ANTIQUE,SAN REMEGIO,3692.0,9920.0,44.0,0.0,0.0,0.0,38.0,3654.0,3692.0,997010.0,1,1,0,0,0,2
ODETTE,2021,7,CEBU,SAN REMEGIO,1602.0,6495.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
ODETTE,2021,8,SOUTHERN LEYTE,SAN RICARDO,3033.0,10766.0,15.0,0.0,0.0,0.0,1803.0,724.0,2527.0,4532285.88,1,1,1,1,1,6
ODETTE,2021,4B,PALAWAN,SAN VICENTE,9896.0,22094.0,10.0,1.0,0.0,0.0,1521.0,7536.0,9057.0,34142592.0,1,1,1,1,1,5
ODETTE,2021,6,NEGROS OCCIDENTAL,SANGAY,0.0,0.0,0.0,0.0,0.0,0.0,96.0,4169.0,4265.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,ILOILO,SANTA BARBARA,1850.0,5838.0,51.0,0.0,0.0,0.0,71.0,1779.0,1850.0,0.0,0,0,0,0,0,0
ODETTE,2021,7,NEGROS ORIENTAL,SANTA CATALINA,6178.0,22744.0,22.0,1.0,0.0,0.0,300.0,1705.0,2005.0,3024000.0,1,0,0,0,0,1
ODETTE,2021,4B,ROMBLON,SANTA FE,8.0,38.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,7,CEBU,SANTA FE,1734.0,7555.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1
ODETTE,2021,8,LEYTE,SANTA FE,1776.0,6722.0,20.0,0.0,0.0,0.0,1.0,230.0,231.0,0.0,0,0,0,0,0,0
ODETTE,2021,Caraga,AGUSAN DEL SUR,SANTA JOSEFA,63.0,227.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,Caraga,SURIGAO DEL NORTE,SANTA MONICA,3014.0,10738.0,11.0,8.0,0.0,0.0,1319.0,1044.0,2363.0,0.0,0,1,0,0,0,1
ODETTE,2021,8,SAMAR,SANTA RITA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127504.0,1,0,0,0,0,1
ODETTE,2021,7,CEBU,SANTANDER,1258.0,3774.0,10.0,0.0,0.0,0.0,47.0,595.0,642.0,265000.0,1,0,0,0,0,1
ODETTE,2021,Caraga,AGUSAN DEL NORTE,SANTIAGO,4085.0,17151.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,8,SAMAR,SANTO NIÑO,29.0,110.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
ODETTE,2021,6,CAPIZ,SAPI AN,663.0,2540.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,400792.32,1,1,0,0,0,2
ODETTE,2021,6,ILOILO,SARA,11465.0,41304.0,42.0,0.0,0.0,0.0,34.0,31.0,65.0,362740.0,1,1,0,0,0,2
ODETTE,2021,6,ANTIQUE,SEBASTE,860.0,3126.0,9.0,0.0,0.0,0.0,5.0,75.0,80.0,500200.0,1,1,0,0,0,2
ODETTE,2021,7,BOHOL,SEVILLA,2919.0,12015.0,13.0,0.0,0.0,0.0,213.0,1849.0,2062.0,1590000.0,1,0,0,0,0,1
