city_municipality_,province_,region_,person_sum,dead_sum,injured_ill_sum,missing_sum,totally_sum,partially_sum,cost_sum,has_food_mean,has_cash_mean,has_hygiene_health_mean,has_sleeping_essentials_mean,has_shelter_support_mean,num_typhoons,recurrence_rate,cost_per_family
SURIGAO CITY,SURIGAO DEL NORTE,13,1300.0,0.0,0.0,0.0,15.0,0.0,375227.6,0.0,0.0,0.0,0.0,0.0,2,2.0,1028.0208219178082
SURIGAO CITY,SURIGAO DEL NORTE,CARAGA,184428.0,0.0,65.0,0.0,12234.0,28536.0,48999968.3,0.0,0.0,0.0,0.0,0.0,3,1.0,934.6144865339131
SUYO,ILOCOS SUR,1,1819.0,2.0,0.0,2.0,11.0,217.0,286982.5,0.14285714285714285,0.0,0.0,0.0,0.0,14,2.8,515.2289048473967
TAAL,BATANGAS,4A,26903.0,0.0,0.0,0.0,78.0,4358.0,116400.0,0.0,0.0,0.0,0.0,0.0,11,1.8333333333333333,18.313404657016992
TABACO CITY,ALBAY,5,271649.0,1.0,6.0,0.0,6741.0,24046.0,8580490.5,0.4166666666666667,0.08333333333333333,0.0,0.0,0.08333333333333333,18,3.0,114.28311423662444
TABANGO,LEYTE,8,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0
TABOGON,CEBU,7,3395.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2,1.0,0.0
TABUELAN,CEBU,7,4471.0,0.0,0.0,0.0,9.0,199.0,1060000.0,0.5,0.0,0.0,0.0,0.0,2,1.0,865.3061224489796
TABUK,KALINGA,CAR,2457.0,0.0,0.0,0.0,2.0,16.0,619956.79,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.0,14,3.5,790.7612117346939
TACLOBAN CITY,LEYTE,8,28731.0,0.0,1.0,0.0,0.0,0.0,1282725.0,0.5,0.0,0.5,0.0,0.5,2,1.0,206.45823273780783
TACURONG CITY,SULTAN KUDARAT,12,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2.0,0.0
TADIAN,MOUNTAIN PROVINCE,CAR,3305.0,0.0,1.0,0.0,0.0,141.0,148273.7,0.25,0.0,0.16666666666666666,0.0,0.0,22,3.6666666666666665,165.66893854748605
TAFT,EASTERN SAMAR,8,7021.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.8,0.0
TAGANA AN,SURIGAO DEL NORTE,CARAGA,32481.0,0.0,0.0,0.0,393.0,2251.0,8972720.4,0.0,0.0,0.0,0.0,0.0,2,0.6666666666666666,1375.7620975160994
TAGAPUL AN,SAMAR,8,36144.0,0.0,0.0,0.0,0.0,13.0,915000.0,0.16666666666666666,0.0,0.0,0.0,0.0,9,1.8,101.06030483764083
TAGAYTAY CITY,CAVITE,4A,3727.0,0.0,0.0,0.0,0.0,573.0,291595.0,0.0,0.0,0.0,0.0,0.0,14,2.3333333333333335,303.7447916666667
TAGBILARAN CITY,BOHOL,7,30240.0,0.0,12.0,0.0,9652.0,428.0,2560000.0,1.0,0.0,0.0,0.0,0.0,1,1.0,253.96825396825398
TAGBINA,SURIGAO DEL SUR,CARAGA,14050.0,0.0,0.0,0.0,4.0,33.0,1492434.4,0.5,0.0,0.0,0.0,0.0,2,0.6666666666666666,390.4851909994767
TAGKAWAYAN,QUEZON,4A,62237.0,0.0,0.0,0.0,427.0,1655.0,1226095.0,0.0,0.0,0.0,0.0,0.0,12,2.0,75.67086342035425
